label;concern
Neutral#club;0
Neutral#club;0
Negative#player;0
Positive#player;0
Negative#player;0
Neutral#club;0
Negative#player;0
Negative#other;0
Positive#other;0
Positive#player;0
Neutral#other;1
Negative#commentator;0
Negative#player;0
Neutral#commentator;0
Negative#player;0
Positive#club,Neutral#player;1
Positive#player;0
Negative#club;0
Positive#player;0
Negative#player;0
Neutral#other;0
Negative#player;0
Negative#player;0
Positive#player;0
Negative#club;0
Positive#player;0
Positive#player,Positive#club;0
Negative#player;0
Positive#club;0
Neutral#player;0
Neutral#other;0
Negative#commentator;0
Positive#commentator;0
Positive#other;1
Neutral#club;0
Neutral#player;1
Neutral#club,Positive#player;0
Neutral#player;0
Neutral#club;0
Neutral#player,Neutral#club;0
Neutral#club;0
Positive#player,Negative#club;0
Positive#player;0
Neutral#other;0
Neutral#other;0
Positive#other;0
Negative#club,Negative#player;0
Positive#player;0
Positive#other;0
Positive#player;0
Neutral#other;0
Neutral#other;0
Positive#club;0
Negative#club;0
Neutral#other;0
Neutral#club;0
Neutral#other;0
Positive#player;0
Positive#club;0
Neutral#other;0
Neutral#club;0
Negative#club,Neutral#player;1
Neutral#club;0
Negative#club;0
Positive#other;0
Negative#club;0
Negative#player;0
Positive#player;0
Neutral#other;0
Negative#commentator;0
Positive#player;0
Positive#club;0
Negative#player;0
Neutral#player;0
Neutral#other;0
Positive#player,Negative#club;0
Negative#club;0
Positive#other;0
Positive#player;0
Neutral#other;0
Positive#player;0
Neutral#other;0
Neutral#player;0
Neutral#other;0
Neutral#other;0
Positive#other;0
Neutral#other;0
Neutral#club;0
Positive#other;0
Positive#other;0
Neutral#other;0
Neutral#club;0
Neutral#other;0
Positive#player;0
Positive#club;0
Positive#club;0
Neutral#other;0
Neutral#other;0
Positive#player;0
Positive#club;0
Positive#other;0
Neutral#club,Neutral#player;0
Positive#other;0
Positive#player;0
Negative#club;0
Neutral#other,Negative#player;0
Positive#player,Neutral#club;0
Negative#commentator;0
Negative#other;0
Positive#club;0
Positive#player;0
Positive#other;0
Neutral#other;0
Negative#player;0
Positive#player;0
Positive#player,Positive#club;0
Neutral#player;0
Negative#player;0
Positive#player;0
Negative#other;0
Positive#player;0
Positive#other;0
Negative#player;0
Neutral#player,Neutral#club;0
Positive#other,Positive#club;0
Negative#commentator;0
Neutral#other;0
Negative#club;0
Positive#club;0
Positive#club;0
Negative#commentator;0
Positive#player;0
Positive#club;0
Positive#player;0
Positive#other;0
Neutral#club;0
Neutral#club;0
Negative#commentator;0
Neutral#other;0
Negative#other;0
Positive#player;0
Neutral#other;0
Negative#other;0
Neutral#other;0
Negative#player;0
Negative#other;0
Neutral#club;0
Negative#other;0
Negative#other;0
Positive#club;0
Positive#player,Neutral#other;1
Neutral#other;1
Positive#other;0
Neutral#other;0
Neutral#player;0
Positive#player;0
Neutral#other;0
Positive#commentator;0
Neutral#other;0
Negative#club,Negative#player;0
Neutral#club;0
Neutral#other;0
Negative#club;0
Positive#player;0
Neutral#other;0
Negative#club;0
Negative#club;0
Neutral#other;0
Positive#player,Negative#player;0
Positive#player,Negative#club;0
Negative#other;0
Positive#other;0
Positive#player;0
Negative#other;0
Neutral#other;0
Neutral#club;0
Neutral#player;0
Positive#other;0
Negative#other;0
Negative#other;0
Negative#club;0
Neutral#other;0
Positive#player;0
Negative#other;0
Negative#club;0
Negative#other;0
Negative#club;0
Negative#other;0
Negative#other;0
Negative#other;0
Neutral#other;0
Negative#other;0
Negative#other;0
Neutral#club;0
Negative#club;0
Negative#other;0
Negative#other;0
Positive#player;0
Neutral#other;0
Positive#player;0
Positive#player;0
Negative#other;0
Positive#player;0
Neutral#club;0
Negative#player;0
Negative#commentator;0
Negative#other;0
Negative#other;0
Neutral#club,Neutral#other;0
Positive#player;0
Positive#club;0
Negative#player;0
Positive#player;0
Neutral#other;0
Negative#club;0
Positive#player,Negative#club;0
Negative#other;0
Positive#club;0
Negative#other;0
Negative#player;0
Negative#other;0
Negative#other;0
Positive#club;0
Negative#other;0
Negative#player;0
Negative#other;0
Negative#other;0
Positive#other;0
Negative#player;0
Negative#other;0
Positive#player;0
Negative#commentator;1
Positive#club,Negative#club;0
Positive#player;1
Positive#player;0
Negative#other;0
Positive#player;1
Neutral#player;1
Positive#club;0
Neutral#club;1
Positive#club;0
Negative#other;0
Negative#other;0
Neutral#other;0
Negative#club;0
Negative#other;0
Negative#club;0
Neutral#other;0
Neutral#other;0
Positive#player;0
Neutral#other;0
Neutral#other;0
Neutral#player;0
Neutral#other;1
Positive#player;0
Negative#other;0
Negative#other;0
Neutral#club;0
Negative#club;0
Negative#player;1
Neutral#other;1
Neutral#club;0
Positive#club;0
Negative#club;0
Negative#club;0
Negative#other;0
Negative#player;0
Neutral#other;1
Neutral#club;1
Positive#other;0
Neutral#other;0
Positive#player;0
Neutral#club;1
Negative#commentator;0
Negative#commentator;0
Positive#club;0
Positive#club;0
Negative#other;0
Negative#player;0
Negative#other;0
Negative#player;0
Positive#player;0
Positive#player;0
Positive#club;0
